group,feature,importance,importance_pct
static,orders_center,194.37501525878906,79.3367424660652
static,series_id,27.892553329467773,11.384715866258501
static,orders_scale,14.670092582702637,5.987793007437901
static,encoder_length,8.062334060668945,3.2907486602383957
encoder,orders,64.18740844726562,26.198942019412435
encoder,weekday,59.15303421020508,24.144095408037963
encoder,month,52.83306121826172,21.56451461508214
encoder,time_idx,21.93146324157715,8.951617579934119
encoder,adSpend,15.946712493896484,6.508862191734608
encoder,event_start,13.666793823242188,5.578283149732604
encoder,relative_time_idx,8.691728591918945,3.5476442956134697
encoder,event_start_next_1,8.589799880981445,3.5060407404526632
decoder,weekday,121.20417022705078,49.471089503454955
decoder,adSpend,34.990230560302734,14.28172664812262
decoder,time_idx,24.22726821899414,9.88868082872756
decoder,relative_time_idx,20.193893432617188,8.242405418532972
decoder,month,17.129180908203125,6.991502357081959
decoder,event_start,17.097566604614258,6.978598559799206
decoder,event_start_next_1,10.157691955566406,4.145996684280733
